iter	Passed	Remaining
456	828	984
457	830	982
458	831	979
459	834	979
460	835	977
461	838	976
462	839	973
463	840	971
464	842	968
465	843	966
466	844	963
467	845	961
468	848	960
469	851	960
470	852	957
471	854	956
472	856	953
473	857	951
474	858	948
475	859	946
476	861	944
477	864	943
478	866	942
479	867	940
480	869	937
481	870	935
482	872	933
483	873	931
484	876	930
485	879	930
486	880	927
487	881	925
488	883	922
489	884	920
490	885	918
491	886	915
492	887	912
493	889	910
494	896	914
495	898	912
496	899	910
497	902	909
498	903	906
499	904	904
500	905	901
501	906	899
502	908	897
503	909	895
504	910	892
505	912	890
506	913	888
507	914	885
508	916	883
509	917	881
510	918	879
511	919	876
512	920	874
513	922	872
514	924	870
515	925	868
516	926	865
517	928	863
518	929	861
519	931	859
520	932	857
521	933	855
522	935	852
523	937	851
524	939	849
525	941	848
526	943	846
527	944	844
528	946	842
529	947	840
530	948	838
531	950	835
532	954	836
533	956	834
534	958	833
535	960	831
536	962	829
537	963	827
538	965	825
539	968	825
540	971	823
541	972	822
542	974	820
543	976	818
544	978	816
545	985	819
546	988	818
547	997	822
548	1006	826
549	1008	825
550	1010	823
551	1013	822
552	1016	822
553	1020	821
554	1022	819
555	1023	817
556	1025	815
557	1027	813
558	1033	815
559	1040	817
560	1043	816
561	1049	817
562	1051	816
563	1054	815
564	1055	812
565	1058	811
566	1060	809
567	1062	808
568	1065	807
569	1067	805
570	1068	803
571	1070	800
572	1072	799
573	1073	797
574	1084	801
575	1086	799
576	1089	798
577	1094	799
578	1097	797
579	1098	795
580	1101	794
581	1105	794
582	1107	792
583	1109	789
584	1110	787
585	1112	786
586	1114	784
587	1116	782
588	1126	785
589	1128	784
590	1131	782
591	1136	783
592	1138	781
593	1140	779
594	1143	778
595	1145	776
596	1147	774
597	1151	773
598	1153	772
599	1155	770
600	1157	768
601	1159	766
602	1161	764
603	1163	762
604	1170	764
605	1172	762
606	1173	759
607	1175	757
608	1176	755
609	1178	753
610	1183	753
611	1185	751
612	1187	749
613	1188	747
614	1190	745
615	1192	743
616	1194	741
617	1198	740
618	1200	738
619	1201	736
620	1204	735
621	1206	733
622	1212	733
623	1214	732
624	1216	730
625	1218	728
626	1220	725
627	1221	723
628	1222	721
629	1224	719
630	1228	718
631	1230	716
632	1231	714
633	1233	711
634	1234	709
635	1235	707
636	1237	705
637	1238	702
638	1241	701
639	1243	699
640	1245	697
641	1246	695
642	1248	692
643	1249	690
644	1251	688
645	1252	686
646	1254	684
647	1256	682
648	1257	680
649	1259	678
650	1260	675
651	1261	673
652	1263	671
653	1264	668
654	1265	666
655	1266	664
656	1267	661
657	1268	659
658	1269	657
659	1271	655
660	1273	652
661	1274	650
662	1275	648
663	1276	646
664	1277	643
665	1279	641
666	1280	639
667	1281	636
668	1282	634
669	1283	632
670	1285	630
671	1287	628
672	1288	626
673	1289	623
674	1290	621
675	1291	619
676	1293	616
677	1294	614
678	1295	612
679	1296	610
680	1297	607
681	1298	605
682	1301	603
683	1302	601
684	1303	599
685	1305	597
686	1306	595
687	1307	592
688	1308	590
689	1309	588
690	1310	586
691	1311	583
692	1313	581
693	1315	580
694	1317	578
695	1319	576
696	1320	574
697	1321	571
698	1322	569
699	1323	567
700	1325	565
701	1326	563
702	1327	560
703	1328	558
704	1330	556
705	1331	554
706	1332	552
707	1334	550
708	1335	548
709	1337	546
710	1338	544
711	1339	541
712	1341	539
713	1342	537
714	1345	536
715	1347	534
716	1349	532
717	1350	530
718	1351	528
719	1352	526
720	1354	523
721	1355	521
722	1356	519
723	1357	517
724	1360	516
725	1362	514
726	1363	512
727	1364	509
728	1366	507
729	1367	505
730	1368	503
731	1370	501
732	1371	499
733	1372	497
734	1375	495
735	1377	493
736	1378	491
737	1380	489
738	1381	487
739	1382	485
740	1384	483
741	1385	481
742	1386	479
743	1387	477
744	1389	475
745	1391	473
746	1392	471
747	1393	469
748	1395	467
749	1396	465
750	1397	463
751	1399	461
752	1400	459
753	1403	457
754	1405	456
755	1407	454
756	1408	452
757	1410	450
758	1411	448
759	1412	446
760	1414	444
761	1415	442
762	1418	440
763	1420	438
764	1421	436
765	1422	434
766	1424	432
767	1425	430
768	1426	428
769	1428	426
770	1429	424
771	1430	422
772	1433	420
773	1435	419
774	1437	417
775	1439	415
776	1440	413
777	1441	411
778	1442	409
779	1444	407
780	1445	405
781	1448	403
782	1450	401
783	1454	400
784	1455	398
785	1457	396
786	1458	394
787	1459	392
788	1460	390
789	1462	388
790	1463	386
791	1465	384
792	1466	382
793	1467	380
794	1469	378
795	1470	376
796	1471	374
797	1472	372
798	1476	371
799	1478	369
800	1479	367
801	1480	365
802	1482	363
803	1483	361
804	1484	359
805	1485	357
806	1487	355
807	1488	353
808	1498	353
809	1500	352
810	1502	350
811	1503	348
812	1504	346
813	1507	344
814	1509	342
815	1510	340
816	1511	338
817	1512	336
818	1513	334
819	1515	332
820	1516	330
821	1517	328
822	1518	326
823	1519	324
824	1522	322
825	1523	320
826	1524	319
827	1526	317
828	1527	315
829	1528	313
830	1529	311
831	1530	309
832	1531	307
833	1532	305
834	1534	303
835	1536	301
836	1537	299
837	1538	297
838	1540	295
839	1541	293
840	1543	291
841	1544	289
842	1545	287
843	1546	285
844	1548	283
845	1550	282
846	1552	280
847	1554	278
848	1555	276
849	1556	274
850	1558	272
851	1559	270
852	1560	268
853	1561	267
854	1563	265
855	1566	263
856	1568	261
857	1569	259
858	1571	257
859	1572	255
